text,sentiment
"US - C:1765723 R:406446 D:103674
Brazil - C:465166 R:189476 D:27878
Russia - C:396575 R:167469 D:4555
United Kingdo… https://t.co/YJgnHsWLQ3",1
"@lipsmole @jenIoey Chiara is in quarantine in Italy, in the region of the country most affected by Covid, and is su… https://t.co/6fxdmzBV7u",1
So apt that a Milanese professor @curijoey who has both seen some of the worst of the COVID-19 outbreak in Italy an… https://t.co/s4VtZW9XGr,1
"#Kawasaki Motorcycle bag
Waterproof Rear Bag Back Seat Case
LINK 👉 https://t.co/oak7dpgtLw
🌎Shipping Worldwide🌎… https://t.co/pAo0pPEfba",1
"Italy, Spain, Germany &amp; Turkey are fighting with COVID-19. In Pakistan we are having flu cases. Don't confuse the p… https://t.co/RRQHjEkaOZ",1
"Why was Lombardy hit harder than Italy's other regions? Among contributing factors, for-profit healthcare hindered… https://t.co/QPFRyZjCvN",1
"a couple of months ago, one of the secretary of state, who is a very well know racist and bigot, tried to create a… https://t.co/m8mDD9kAQG",1
"@MarkDice @JoyAnnReid Bahahaha!  Of course CNN will defend their fake, factless narrative with another fake story.… https://t.co/2uDKNn5Hdd",1
A new COVID-19-themed campaign targets Italian users https://t.co/mjRxto5v5p https://t.co/gNOaHcfU84,1
A new COVID-19-themed campaign targets Italian users https://t.co/Ui4Ky54JIx https://t.co/YH8Y3HUdTl,1
"Lesson to politicians, listen to GPs, it saves lives! GPs early warnings about coronavirus were ignored in Lombardy… https://t.co/iLhFdXsmpq",1
@drnic @dhh @brandonshar Blaming the entire USA for the crimes of a few within a city or state is like saying Austr… https://t.co/6jnmTewyLl,1
"@BorisJohnson Deaths yesterday across Europe from Covid. Good luck everyone.

Spain        2
Italy         87
Germa… https://t.co/oPOU1QJSWn",1
"#Hacking #Android #Coronavirus #Covid19 #Vulnerability #Malware #CyberAttack #CyberSecurity  
Security researchers… https://t.co/fHWnZaCO81",1
"@MattHancock Deaths yesterday across Europe from Covid. Good luck everyone.

Spain        2
Italy         87
German… https://t.co/YMps9lnXQl",1
"@PaulJBelcher @RupertMyers @mwarhurst Deaths yesterday across Europe from Covid. Good luck everyone.

Spain… https://t.co/YeEoK5cG5H",1
Mental health outcomes among health care workers during COVID-19 #pandemic in Italy https://t.co/3CsK3odAjC,1
@piersmorgan God give me strength just do one piers we are not getting rid of covid 19 we will have to live with it… https://t.co/uScV6iYIPc,1
"COVID-19 death rates per million population, per @Worldometers.  Top-10 (i.e., worst 10):  

Belgium 816
Spain 580… https://t.co/dtnDCSoJm1",1
"Covid safety is a must, but Leaders of the G7 (especially Germany, France, Canada) should form a unified bloc to tu… https://t.co/TNuMdO16k6",1
"New post (ABC News Prime: Moving toward reopening, Trump blames China over COVID-19, Italy begins reopening) has be… https://t.co/9dp0eisgQc",1
JAMA Mental Health Outcomes Among Health Care Workers During the COVID-19 Pandemic in Italy https://t.co/DF8HOuL1EN,1
"@AndyWood23 @AndyBurnhamGM @EvertonNewsFeed Yesterday the UK recorded more COVID deaths than:
 
Spain
Italy
Germany… https://t.co/JGv3GoCEs1",1
@AUThackeray Uddhavji is resp for Maharashtra. Modi is not taking responsibility.Maha must be monetarily compensate… https://t.co/guIO7dLIYK,1
"@poppywcr @thearchergomez Actually, where is that energy for the thousands of Palestinians dying every year for the… https://t.co/2G0WoGrd0m",1
"I’m just so angry because of the way the government have thrown people’s lives away. 

We saw it in China, we saw i… https://t.co/Bn854nG0uj",1
"@soychicka Italy=where Masarati makes cars, right?
The garment industry/Imigrant fueled,
NE Milano, Huge # covid de… https://t.co/geCdib3WN9",1
"PRO/AH/EDR&gt; COVID-19 update (220): global, USA, Italy genomic studies, WHO  https://t.co/6K31VPcfD7",1
"#CoronaVirus Cases - Most affected countries
USA 1,810,937
Brazil 469,510
Russia 396,575
Spain 286,308
UK 272,826
I… https://t.co/YrdxGCIXGK",1
It's safe to say Covid-19 changed Italy's perception of its European partners forever. I find the smear campaign pu… https://t.co/p4ucVIScHp,1
"COVID-19 Italy stats

New cases: +416
Total cases: 232664
New deaths: +111
Total deaths: 33340",1
"Remember a couple of months ago when we were all aghast at 300, 400, 500 people dying every day of covid-19 in Ital… https://t.co/nbkRtEcywL",1
"Day 100 situation #coronavirus italy                     

232.664 cases (+416
                since yesterday)

33… https://t.co/9U5XPO8Iz0",1
"@realDonaldTrump @SecPompeo 
What a day! Finally protests in italy against the illegal Conte regime and criminal co… https://t.co/wquZzCh8tO",1
What’s up with Italy and covid. They ain’t Been in the news lately,1
"@MattHancock European Covid Deaths last 24h
Spain 4
Germany 4
France 57
Italy 111
Belgium 22
Netherlands 20
Sweden… https://t.co/5bqMFM1rjY",1
"They bought a $1 house in Italy, then Covid-19 struck https://t.co/plF8JYFWTp via @CNNTravel",1
SA Covid-19 numbers are really starting to look like Italy’s numbers in March 😩,1
#Italy’s health minister confirms the country can go ahead with the plan to start allowing travel across the nation… https://t.co/eZynLwTFnY,1
"securityaffairs write ""A new COVID-19-themed campaign targets Italian users"" 
See full original article:… https://t.co/jsXLkUUKVY",1
"Countries with more #COVID deaths per 1 million as of May 30

San Marino 🇸🇲
Belgium 🇧🇪
Andorra 🇦🇩
Spain 🇪🇸
Uk 🇬🇧
It… https://t.co/T4GsNDJbDS",1
@BetteDavisI @3YearLetterman Betsy- do you know coaches apartment has a fountain view?Also hes behind on his rent l… https://t.co/qfhxzbtoWS,1
"Italian covidiots believe covid was made up by financial elites. And that Germans will buy Italy for cheap!
😱😵🤯 https://t.co/CjAu8ZT1Vx",1
"@earthalliance Mr.Pres. a fantastic news from Italy, covid-19,is not a virus,but a bacteria,Italian doctors opposed… https://t.co/NmfzV9COQ8",1
"@derspiegel Mr.Pres. a fantastic news from Italy, covid-19,is not a virus,but a bacteria,Italian doctors opposed th… https://t.co/PooCnaDm1h",1
"@bbcmundo Mr.Pres.a fantastic news from Italy,covid-19,is not virus,but a bacteria,Italian doctors opposed the WHO… https://t.co/dvsUGIvDlF",1
"COVID-19
Love
Every
Step
Italy https://t.co/bAkwv6uYHq",1
"@nytimesworld Mr.Pres. a fantastic news from Italy, covid-19,is not a virus,but a bacteria,Italian doctors opposed… https://t.co/TWwuPZt2LH",1
A new #COVID-19-themed campaign targets Italian users  https://t.co/KYU67Stroo,1
"@MattHancock Covid deaths across Europe wed

Spain - 2
Northern Ireland - 3*
Ireland - 6
Hungary - 8
Wales - 10*
Po… https://t.co/Y3gn965FRw",1
A man wearing a face mask as a precaution against the #COVID_19 #coronavirus is sitting on the bank of Regi Lagni c… https://t.co/FD58Dajo2A,1
A new COVID-19-themed campaign targets Italian users https://t.co/c6iZAl0I7f #Malware #Mobile #Android #Coronavirus #COVID19 #ItSecurity,1
"""Beginning on June 3, it will be possible to #travel between different regions""
#italy #coronavirus 
 - https://t.co/Yi3Ya9b2CD",1
A new COVID-19-themed campaign targets Italian users  https://t.co/AoV1rZ2C9k,1
"@Corriere Mr.Pres. a fantastic news from Italy, covid-19,is not a virus,but a bacteria,Italian doctors opposed the… https://t.co/zOEYDIpwLv",1
"@Macfar67 @DavidTannerTV It’s because they cleared out the bed blockers because they wanted them for COVID, and to… https://t.co/mAk4RENPZk",1
Italy starts tracking covid-19 with new app https://t.co/WEJ3bWLwtA,1
"Daily Covid-19 death tolls fall in UK, Spain and Italy – as it happened https://t.co/BshlYrnfyh",1
Italy records new 111 covid-19 deaths and 416 new cases https://t.co/peBZYbaURg,1
@RoseUnwin @DMinghella I am sure there have been many mistakes. Emptying hospitals into care homes without tests no… https://t.co/IV7K21Krui,1
@SMahashur The government has not bothered to do the required check with all folks who came to #India from abroad (… https://t.co/Jtf8DKqVlk,1
"Well done @D3LabIT @guelfoweb A new #COVID19-themed campaign targets Italian users
https://t.co/vl64cth4O2… https://t.co/YvrmIONDWb",1
Sooo meanwhile in italy we have people saying that covid is not real and it all a play so that quote “shitty chines… https://t.co/I5DyM5XPdj,1
@CossuHelga @viperaviola @arturodicorinto @_antoniopirozzi @zlab_team @TroelsOerting A new #COVID19-themed campaign… https://t.co/WnOzo68qnQ,1
"I can't find any readings on how Italy managed their covid numbers, like does the virus have a lifetime of some sor… https://t.co/Lw0U2Isdt2",1
A new COVID-19-themed campaign targets Italian users https://t.co/zFs2XXk8al https://t.co/ryM8hui7Bc,1
@nspector4 Most Covid in Canada wasn’t from China at all but Italy,1
@NorbertElekes can u give  us an update about Italy new cases of Covid  i want to see something,1
Covid-19 crisis: Italy to open travel as local officials fret over Lombardy https://t.co/QH1BLA5fF8,1
"Please see the COVID graphs published by UK, Italy, US, NZ, Australia to understand why Unlock1.0 is necessary. You… https://t.co/pOnyUKlz9W",1
"Most coronavirus COVID-19 deaths:

🇺🇸 USA - 105,068
🇬🇧 UK - 38,376
🇮🇹 Italy - 33,340
🇫🇷 France - 28,771
🇧🇷 Brazil -… https://t.co/L6JSV0XpQD",1
and here's Ben Fold's song on Adelaide @BenFolds was born on the exact day my father Giuseppe had his passport stam… https://t.co/3dti2j9Jfz,1
@CreatrixAnima @JayWeber3 The average age of the people dying from COVID in Italy was 79.1. This virus was used as… https://t.co/mdip3Fx92t,1
"Led by a retired general who hopes to cure Covid19 with yoga, hundreds of ‘orange vests’ staged protests in Italy.… https://t.co/W7iEf4eucm",1
@john_bromfield @lienomail @tj1969t The lame response of the EU to the Covid crisis in Italy and elsewhere has high… https://t.co/01LwAoFwpf,1
"@GiuseppeConteIT Mr.Pres. Trunp, a fantastic news from Italy, covid-19,is not a virus,but a bacteria,Italian doctor… https://t.co/1srbnRquD7",1
"Lots of talk right now about a #secondwave, yet there's been no evidence yet of a second wave in Germany, Italy, Sp… https://t.co/o5HxBvhgFk",1
"@MattHancock How you can call yourself the ""Health"" Secretary is amazing! Every decision you make creates more case… https://t.co/fc3TWszDyu",1
"Deaths from the COVID-19 epidemic in Italy climbed by 111 on Saturday, against 87 the day before, the Civil Protect… https://t.co/CuR38SJ1jo",1
"@NattyCory @Nancy_Crouse So you are a Covid denier.  Death rate is closer to 8%, if you look at the numbers.  You s… https://t.co/gwQPbMt5QR",1
@dmgriff1968 @LuckyHeronSay @piersmorgan Okay what is your point.  We are reporting more Covid deaths or Europe is… https://t.co/2jNGdY4SzD,1
"@Bubu_Inter Is the COVID still a real issue in Italy? I see your tweets and see only 'contagiati, decessi, guariti,… https://t.co/iLP1Z2G9iP",1
"Mr.Pres. a fantastic news from Italy, covid-19,is not a virus,but a bacteria,Italian doctors opposed the WHO found… https://t.co/w4bOHWDyxc",1
"@realDonaldTrump Mr.Pres. a fantastic news from Italy, covid-19, is not a virus,but a bacteria,Italian doctors oppo… https://t.co/q0cFa3WT5Y",1
"It will hit places that are transpo ""hubs""~Greater mobility raises the risk of a second wave of cases... this risk… https://t.co/NIuoWmbI6m",1
@thekublakhan I was talking about the countries the original tweet pointed out. I know for sure that Italy counted… https://t.co/0qbSVJbuwP,1
"Not rocket science . B4 Covid 30% unemployment for under 25s . 3/4 owned by foreign investors GDP based tourism , o… https://t.co/EchJb85UQz",1
Mental Health Outcomes Among Frontline and Second-Line Health Care Workers During the Coronavirus Disease 2019 (COV… https://t.co/qcFbhwkZkU,1
"We really shouldn't be easing #lockdown prematurely! 
Yesterdays #covid deaths across Europe:
Spain       2
Italy… https://t.co/bWPaR2SQpD",1
@rdmwest11 @WritesBright @NadineDorries What have they done thats so much worse than other countries such as Belgui… https://t.co/PGuJKWovZK,1
"@MattHancock Yesterday the UK recorded more COVID deaths than:
 
Spain
Italy
Germany
France
Turkey
Belgium
Portugal… https://t.co/xSA7dC5QLX",1
@my_amigouk This man could be responsable for many deaths he said no need to shut down country as covid 19 is alrea… https://t.co/B1anQKg0bk,1
"""Inside Italy's COVID War"" is a rare look inside a hospital battling coronavirus, following doctors and nurses tryi… https://t.co/raJaWktJbY",1
"Covid-19 deaths - yesterday across Europe:

Spain       2
Italy         87
Germany 24
France     52
Turkey     28
B… https://t.co/BRVURfrNdb",1
"Most confirmed cases of coronavirus COVID-19:

🇺🇸 USA - 1,806,071
🇧🇷 Brazil - 469,510
🇷🇺 Russia - 396,575
🇪🇸 Spain… https://t.co/e8Po5rq40M",1
"@TOIMumbai yeh hospital normal problem thik nahi kar pata hai, covid pata nahi, kaise handle karega. If this contin… https://t.co/XtX5F9AimU",1
"@g_occhionero @g_occhionero Is it possible that something like that was organized here in Perugia, my city, from da… https://t.co/5BgCshetST",1
Shocking report reveals Italy could see a deadlier second wave of coronavirus soon https://t.co/Am1g5jN8yg,1
What's it like for a programmatic ad company to move from Italy to U.S. during COVID-19 pandemic? @mainadvsrl https://t.co/3ohqwLZqEY,1
What's it like for a programmatic ad company to move from Italy to U.S. during COVID-19 pandemic? @mainadvsrl… https://t.co/I31Q2EfeNh,1
"#Covid19 |  Italy to open travel as local officials fret over Lombardy

https://t.co/larM6Sk9gE https://t.co/18rZdtPhHu",1
"@richard_cooke @MikeCordingley Italy haven’t had more than 300 people die due to COVID-19 for three weeks.

They ar… https://t.co/dmOcc9RJyM",1
"Reduction of Hospitalizations for Myocardial Infarction in Italy in the COVID-19 Era https://t.co/sh1l07HKMy

#COVID19 #coronavirus",1
"Deaths from the COVID-19 epidemic in Italy climbed by 111 on Saturday, against 87 the day before, the Civil Protect… https://t.co/XJL8yhRl0x",1
Inside Italy's COVID War (full film) | FRONTLINE https://t.co/xTHLBQtfxF via @YouTube,1
"There is no bigger supporter or lover than football than me but football coming back means nothing, spoke to a stud… https://t.co/Hg1I3KUm9S",1
@citizentvkenya @niyogilbert1 @lillian_muli This is a fake news broadcasted by sosmedia Burundi known as media of r… https://t.co/1x2jrp3CDV,1
"@Libertad1895 @lhoyer1 @vascdoc @AndyRosales_20 @realDonaldTrump Yep ur right, more ppl have died of starvation, ca… https://t.co/ZamBWRDoUD",1
"Covid-19 crisis: Italy to open travel as local officials fret over Lombardy
https://t.co/vyCfJMZN2P",1
COVID-19 Italy daily news; 111 deaths in last 24hrs bringing the toll to 33.340 and only 416 new cases registered in the last 24hrs,1
"Italy and China: beyond fake news  Since the appearance of Coronavirus, now referred to as COVID-19, a series of th… https://t.co/hxPB0an8MR",1
"Italy and China: beyond fake news  Since the appearance of Coronavirus, now referred to as COVID-19, a series of th… https://t.co/vyA5QkUvvv",1
@AlistairHaimes Do you think there is a reason why we have never been given the numbers of people who have been tre… https://t.co/uTVPCLo7KW,1
"@ChrisMa10104997 @LuckyHeronSay @MattHancock However Norway, Denmark &amp; Finland it's neighbours did and guess what t… https://t.co/n9brB4DlE5",1
"Muertes ayer por #Covid_19 en #UE A ver si no se ha hecho tan mal la cosa! 
Info: @ter4bithi4  
💪Spain     2
📉Irela… https://t.co/YmyLJBAcjV",1
"@creztas This are far right idiots who believe that COVID was made up just to make Italy go bankrupt, and then sell… https://t.co/1XFQm2UbNk",1
"@realDonaldTrump It’s so convenient for you to push all the blames to China, smear and divert hatred to the Chinese… https://t.co/CwhcaHmsKL",1
@Real__American @Cashpot3000 @NYisBLUE @RobertLongView @PettyBettyPlay @jjonghallelujah @eugenegu @NYGovCuomo How d… https://t.co/noFVpnuklF,1
Italy wants an independent inquiry into the origin of the Covid-19 pandemic in China and backs India’s calls for re… https://t.co/TNDC74iOP2,1
"UK's Covid-19 death toll rises by 215 to 38,376, the government says. Here're other updates: 

🇮🇹Italy records 111… https://t.co/bAOZIhO0zI",1
"#Covid_19 deaths yesterday (Europe)
Spain       2
Italy         87
Germany 24
France     52
Turkey     28
Belgium… https://t.co/d6FA3h4Q65",1
"Demonstration in Italy today, pretending that #Covid doesn't exist and is an excuse used by governments to exploit… https://t.co/SObzmLinQN",1
@JimMFelton Dear @JimMFelton - I’m kind of wondering... there’s talk about a 2nd wave and it seems like the 1st wav… https://t.co/lYouzAZWhB,1
jp nadda was louading achievement against the fight of COVID -19 but forget to tell that cases r on the rise and pe… https://t.co/8vVT8nrS33,1
@pantomath__ @realDonaldTrump @CNN The Covid-19 deaths from the virus produced in China? What country has a vaccine… https://t.co/T25awhOvrq,1
Top officials from Italy and Spain—the two European Union member states hit hardest by the coronavirus pandemic—pra… https://t.co/imhVbKOl5v,1
"Brazil has overtaken US in terms of new daily cases. Now, Brazil, US, India and Russia seem to be reporting the hig… https://t.co/i36V2AIgzR",1
@mnmikebierman @realDonaldTrump So Trump started the fires now got it. Orange man bad syndrome is a mental illness.… https://t.co/aeOcEuE3Fq,1
"Speaking of doxxing, remember when we dox a few COVID-19 “superspreaders” like that tabligh guy and the lady who tr… https://t.co/xlXUTgYKId",1
What happened around the world this week? Read our analysis on some of the week’s most relevant events: from Uber I… https://t.co/Zf5xSj3axS,1
.@ICMRDELHI advises States to conduct sero-survey to measure #coronavirus exposure in the population using IgG ELIS… https://t.co/UkfbQlonYI,1
"@AmitShah @narendramodi Compare the Covid 19 record of India with countries like US, UK, Italy, Spain, France  Germ… https://t.co/OTGodkYvye",1
"No one knows what ll going to happen between one month ,would be situation going to be out of control like in US or… https://t.co/iM9hxEpKfl",1
"A tailor on my street does not believe COVID-19 is real. 

He said he believes it's real in USA, Italy and UK but n… https://t.co/Sv9jiyBTen",1
"COVID-19 LATEST (May 30): Deaths Worldwide-367,287; US-104,542; UK-38,161; Italy-33,229: What you need to know The… https://t.co/Uu1AM3pryw",1
@drsimonegold @SonicMessman @Wyn1745 @fleccas You are so brave woman !!! I'm honoured to speaking with you... In It… https://t.co/hI9vVStgek,1
@AndyJBowes @tnysmths @andywigmore @campbellclaret @BBCNews @BorisJohnson We didn't have a policy of discharging co… https://t.co/Ghgq9lOT5V,1
COVID-19: Italy Reports 111 Deaths https://t.co/a8fDmBj5ZO https://t.co/l1Nk7i7kK3,1
"Also March 2, Glasgow Live reported mystery closure of Nike Glasgow city centre store, shut 24 hours for 'cleaning'… https://t.co/oEmxFPTTyP",1
@WarrenRothman She forget many #European dead of COVID-19. The #Chinese woman - Hu Yamin spread out the COVID-19 to… https://t.co/uM1ErngWH6,1
Italy: The quality of the water after COVID-19 lockdowns. https://t.co/AkAUrHneSC,1
"@RogerGoodcopy @Paul_Dundon @WestminsterWAG 37,000 fatalities of which not all are Covid. We locked down earlier an… https://t.co/x2LVLbWsMr",1
"🇮🇹 Italy reports 416 new #COVID19 cases along with 111 new deaths

Totals stand at 232,664 cases, 33,340 deaths, an… https://t.co/C7A7787at5",1
"@toryboypierce Yesterday the UK recorded more COVID deaths than:
 
Spain
Italy
Germany
France
Turkey
Belgium
Portug… https://t.co/8Vsqd0woHS",1
@ZinoRobbie @tnysmths @andywigmore @campbellclaret @BBCNews @BorisJohnson We locked down later and less strictly th… https://t.co/W2swBxaVn8,1
"@yation @devisridhar Nope, the way we count and report the deaths makes it appear like that. All those deaths were… https://t.co/xcal8k1pcw",1
Why was Lombardy hit harder than Italy's other regions? | World news | The Guardian https://t.co/TrVG3IezPy,1
"COVID 19 deaths yesterday: 
Spain       2
Italy         87
Germany 24
France     52
Turkey     28
Belgium   42
Swed… https://t.co/zx9bhL6SOn",1
"@akm1410 @nit_set World tour for covid response - Start with China (strict lockdown), go to Italy (staggered openin… https://t.co/9uEtq4BEnV",1
@bogusdavecooper @nbinsider63 @Channel4News @krishgm Hypocrisy that's why. You have a thing for the EU and then cri… https://t.co/5gQoATJV3E,1
"UPDATE: New cases of #coronavirus #COVID19 #COVID_19 

US (+5967, tot. 1756170)
Chile (+4220, tot. 94858)
United Ki… https://t.co/dggp7SMzTi",1
"#Covid_19 #Italy #30May
+ 416 New cases
+ 111 dead 
+ 2.866 healed https://t.co/kgrYxjNkXO",1
@business She forget many #European dead of COVID-19. The #Chinese woman - Hu Yamin spread out the COVID-19 to… https://t.co/MTJJ1WA9Lm,1
"@Reuters Coronacrisis not over yet for @FedericaMog: Italy records 111 new coronavirus deaths, 416 new cases and th… https://t.co/ynMtJb619G",1
"Today (May 30th) the daily percentage growth of confirmed #COVID19 cases in Italy is 0.18%, from 232,248 to 232,664… https://t.co/8VrgTgwZsz",1
"Why was Lombardy hit harder than Italy's other regions? “For sure, some GPs tried to signal this strange pneumonia… https://t.co/0VNcwMjshc",1
"@kinggazz72 @SadiqKhan What are you driving at?

Europe––Deaths yesterday:
Spain      2
Italy        87
Germany 24… https://t.co/X0xYIYV58Y",1
"Deaths from the COVID-19 epidemic in Italy climbed by 111 on Saturday, against 87 the day before, the Civil Protect… https://t.co/bBuzoxLYtG",1
67 of Italy’s 111 #COVID-19 deaths on Saturday were in Lombardy. I wouldn’t be surprised if quite a few were late r… https://t.co/ERpAvE6uOp,1
"@SadiqKhan Deaths yesterday across Europe:
Spain       2
Italy         87
Germany 24
France     52
Turkey     28
Be… https://t.co/3U5ODntuZv",1
"@GitTheBiker @MCRCycleSam @Hotmkym @SadiqKhan Deaths yesterday across Europe:
Spain       2
Italy         87
German… https://t.co/T4Me7T6fhN",1
Today Italy recorded the same number of Covid-19 infections (416) as Poland (still a lot more deaths though - 111 vs 10),1
"@totter_down @Oye_Bugger_Lugs @JMPSimor @Scarborough_GB And yes we had PPE issues in NHS and clinician deaths too,… https://t.co/2ulWnfvzai",1
"@colnagomikey @fmwales @WelshGovernment Yesterday, 324 people died of covid across the UK.

To put that into contex… https://t.co/iNB2RP7BIW",1
"Eerie how closely the UK looks like an echo of Italy’s pandemic, 15 days removed.

https://t.co/qqx4p511HH https://t.co/hCNERaTz1O",1
A new upturn in COVID deaths in Italy. https://t.co/FxQBFZNbqj,1
@NelsonChurchil3 Because this would undermine the #ScumMedia narrative that GB response to Covid wasn’t good enough… https://t.co/40ejWQ1qJL,1
@IngrahamAngle Have you heard reports from Italy that this Covid-19 is not actually a virus but a bacteria that cau… https://t.co/8X674knAPZ,1
@dezzylynam @KazzJenkins No thats opinion and ita.based on a massive difference in reporting We report all deaths c… https://t.co/QgtPVhCUy4,1
"@lucyallan 'Falling' to a rate considered 8 times higher than was predicted for this period. 

Covid deaths, May 29… https://t.co/ncEKKvaA6C",1
"@ProfKarolSikora With respect my granddaughter could work that out

Yesterday, 324 people died of covid in the UK.… https://t.co/mMyTAjPnrQ",1
